No,Latitude,Longitude,Altitude,Date,Time
1,33.753389,-84.366309,312.7,2013/08/21,12:13:00
2,33.753390,-84.366300,312.7,2013/08/21,12:13:00
3,33.753820,-84.366420,312.8,2013/08/21,12:13:13
4,33.754040,-84.366480,312.8,2013/08/21,12:13:19
5,33.754190,-84.366530,312.8,2013/08/21,12:13:24
6,33.754270,-84.366550,312.6,2013/08/21,12:13:26
7,33.754290,-84.366550,312.5,2013/08/21,12:13:26
8,33.754340,-84.366560,312.5,2013/08/21,12:13:28
9,33.754410,-84.366570,312.3,2013/08/21,12:13:30
10,33.754510,-84.366570,312.1,2013/08/21,12:13:33
11,33.754740,-84.366570,311.9,2013/08/21,12:13:40
12,33.754780,-84.366580,311.7,2013/08/21,12:13:41
13,33.754800,-84.366580,311.5,2013/08/21,12:13:41
14,33.754820,-84.366590,311.4,2013/08/21,12:13:42
15,33.754830,-84.366610,311.2,2013/08/21,12:13:42
16,33.754840,-84.366640,311.0,2013/08/21,12:13:43
17,33.754850,-84.366680,311.4,2013/08/21,12:13:44
18,33.754860,-84.366800,311.7,2013/08/21,12:13:47
19,33.754870,-84.366930,312.1,2013/08/21,12:13:50
20,33.754880,-84.366960,312.5,2013/08/21,12:13:51
21,33.754890,-84.366990,312.8,2013/08/21,12:13:52
22,33.754910,-84.367010,313.5,2013/08/21,12:13:53
23,33.754930,-84.367040,313.9,2013/08/21,12:13:54
24,33.754960,-84.367060,314.4,2013/08/21,12:13:55
25,33.755000,-84.367070,314.8,2013/08/21,12:13:56
26,33.755090,-84.367060,314.7,2013/08/21,12:13:58
27,33.755730,-84.367030,314.6,2013/08/21,12:14:17
28,33.756510,-84.366980,314.2,2013/08/21,12:14:39
29,33.756590,-84.366870,313.2,2013/08/21,12:14:43
30,33.756750,-84.366670,312.2,2013/08/21,12:14:50
31,33.757570,-84.365620,311.2,2013/08/21,12:15:24
32,33.757570,-84.365370,310.3,2013/08/21,12:15:30
33,33.757570,-84.365370,309.1,2013/08/21,12:15:30
34,33.757560,-84.365030,308.0,2013/08/21,12:15:39
