No,Latitude,Longitude,Altitude,Date,Time
1,33.761381,-84.376051,312.7,2013/08/03,09:58:00
2,33.761400,-84.376050,312.1,2013/08/03,09:58:00
3,33.761400,-84.376090,311.8,2013/08/03,09:58:01
4,33.761400,-84.376530,310.6,2013/08/03,09:58:11
5,33.761400,-84.376890,309.6,2013/08/03,09:58:18
6,33.761390,-84.377230,308.8,2013/08/03,09:58:26
7,33.761400,-84.377500,307.5,2013/08/03,09:58:32
8,33.761400,-84.377600,305.9,2013/08/03,09:58:34
9,33.761390,-84.377890,304.3,2013/08/03,09:58:40
10,33.761400,-84.377970,303.0,2013/08/03,09:58:42
11,33.761380,-84.378390,301.7,2013/08/03,09:58:51
12,33.761380,-84.378630,300.6,2013/08/03,09:58:57
13,33.761380,-84.378720,299.5,2013/08/03,09:58:59
14,33.761390,-84.378810,298.5,2013/08/03,09:59:00
15,33.761410,-84.378940,298.1,2013/08/03,09:59:03
16,33.761440,-84.379060,297.6,2013/08/03,09:59:06
17,33.761460,-84.379170,297.2,2013/08/03,09:59:09
18,33.761490,-84.379250,296.7,2013/08/03,09:59:11
19,33.761520,-84.379340,296.6,2013/08/03,09:59:13
20,33.761570,-84.379460,296.5,2013/08/03,09:59:16
21,33.761590,-84.379530,296.5,2013/08/03,09:59:17
22,33.761630,-84.379590,296.4,2013/08/03,09:59:19
23,33.761680,-84.379680,296.3,2013/08/03,09:59:21
24,33.761720,-84.379740,296.0,2013/08/03,09:59:23
25,33.761800,-84.379860,295.7,2013/08/03,09:59:26
26,33.761860,-84.379940,295.8,2013/08/03,09:59:29
27,33.761940,-84.380100,296.0,2013/08/03,09:59:33
28,33.762010,-84.380260,296.2,2013/08/03,09:59:37
29,33.762030,-84.380320,296.4,2013/08/03,09:59:38
30,33.762080,-84.380460,296.5,2013/08/03,09:59:41
31,33.762110,-84.380530,297.4,2013/08/03,09:59:43
32,33.762120,-84.380610,298.2,2013/08/03,09:59:45
33,33.762140,-84.380740,299.0,2013/08/03,09:59:48
34,33.762160,-84.380950,299.8,2013/08/03,09:59:52
35,33.762160,-84.381200,300.8,2013/08/03,09:59:58
36,33.762190,-84.381410,301.8,2013/08/03,10:00:03
37,33.762190,-84.381420,302.5,2013/08/03,10:00:03
38,33.762190,-84.381590,303.1,2013/08/03,10:00:07
39,33.762190,-84.381600,303.5,2013/08/03,10:00:07
40,33.762190,-84.381620,304.0,2013/08/03,10:00:07
41,33.762190,-84.381680,304.5,2013/08/03,10:00:09
42,33.762190,-84.382040,304.3,2013/08/03,10:00:16
43,33.762190,-84.382070,304.1,2013/08/03,10:00:17
44,33.762190,-84.382100,303.9,2013/08/03,10:00:18
45,33.762190,-84.382350,303.7,2013/08/03,10:00:23
46,33.762190,-84.382410,303.5,2013/08/03,10:00:25
47,33.762190,-84.382420,306.3,2013/08/03,10:00:25
48,33.762190,-84.382430,309.0,2013/08/03,10:00:25
49,33.762200,-84.382590,311.7,2013/08/03,10:00:28
50,33.762200,-84.383290,314.4,2013/08/03,10:00:44
51,33.762210,-84.383420,317.0,2013/08/03,10:00:47
52,33.762210,-84.384130,319.6,2013/08/03,10:01:02
53,33.762210,-84.384220,323.2,2013/08/03,10:01:04
54,33.762210,-84.384280,326.7,2013/08/03,10:01:06
55,33.762220,-84.385540,330.3,2013/08/03,10:01:33
56,33.762220,-84.385540,332.5,2013/08/03,10:01:33
57,33.762230,-84.386020,335.1,2013/08/03,10:01:44
58,33.762250,-84.387350,334.8,2013/08/03,10:02:13
59,33.762250,-84.387530,334.5,2013/08/03,10:02:17
60,33.762250,-84.387600,334.3,2013/08/03,10:02:18
61,33.762250,-84.388180,334.3,2013/08/03,10:02:31
62,33.762260,-84.389030,334.4,2013/08/03,10:02:50
63,33.762260,-84.389420,334.5,2013/08/03,10:02:58
64,33.762270,-84.390100,333.6,2013/08/03,10:03:13
65,33.762270,-84.390100,332.8,2013/08/03,10:03:13
66,33.762270,-84.390220,332.0,2013/08/03,10:03:16
67,33.762270,-84.390360,332.5,2013/08/03,10:03:19
68,33.762270,-84.390360,332.6,2013/08/03,10:03:19
69,33.762280,-84.390550,329.9,2013/08/03,10:03:23
70,33.762500,-84.390550,327.2,2013/08/03,10:03:29
71,33.762500,-84.390550,324.5,2013/08/03,10:03:29
72,33.762660,-84.390550,321.7,2013/08/03,10:03:33
73,33.762900,-84.390540,318.9,2013/08/03,10:03:39
74,33.763060,-84.390540,316.1,2013/08/03,10:03:43
75,33.763190,-84.390540,313.3,2013/08/03,10:03:47
76,33.763210,-84.390540,310.5,2013/08/03,10:03:47
77,33.763330,-84.390520,307.6,2013/08/03,10:03:51
78,33.763440,-84.390510,304.8,2013/08/03,10:03:53
79,33.763490,-84.390500,302.0,2013/08/03,10:03:55
80,33.763500,-84.390490,302.0,2013/08/03,10:03:55
81,33.763500,-84.390490,302.0,2013/08/03,10:03:55
82,33.763540,-84.390470,302.0,2013/08/03,10:03:56
83,33.763580,-84.390460,302.0,2013/08/03,10:03:57
84,33.763620,-84.390440,302.0,2013/08/03,10:03:58
85,33.763630,-84.390430,302.0,2013/08/03,10:03:59
86,33.763650,-84.390430,302.0,2013/08/03,10:03:59
87,33.763660,-84.390420,302.0,2013/08/03,10:04:00
88,33.763690,-84.390420,302.0,2013/08/03,10:04:00
89,33.763770,-84.390400,302.0,2013/08/03,10:04:03
90,33.763840,-84.390390,302.0,2013/08/03,10:04:04
91,33.763900,-84.390380,301.6,2013/08/03,10:04:06
92,33.763970,-84.390370,301.3,2013/08/03,10:04:08
93,33.764020,-84.390360,300.9,2013/08/03,10:04:09
94,33.764200,-84.390360,300.5,2013/08/03,10:04:14
95,33.764350,-84.390360,299.9,2013/08/03,10:04:18
96,33.764660,-84.390350,299.3,2013/08/03,10:04:26
97,33.764660,-84.390940,298.6,2013/08/03,10:04:39
98,33.764650,-84.391180,298.1,2013/08/03,10:04:44
99,33.764650,-84.391220,297.5,2013/08/03,10:04:45
100,33.764650,-84.391320,297.4,2013/08/03,10:04:47
