No,Latitude,Longitude,Altitude,Date,Time
1,33.749087,-84.357538,309.0,2013/08/09,14:54:31
2,33.749086,-84.357538,309.0,2013/08/09,14:54:32
3,33.749143,-84.357455,309.4,2013/08/09,14:56:24
4,33.749146,-84.357354,309.7,2013/08/09,14:56:27
5,33.749164,-84.357246,309.6,2013/08/09,14:56:30
6,33.749165,-84.357122,309.5,2013/08/09,14:56:34
7,33.749134,-84.357025,309.5,2013/08/09,14:56:38
8,33.749205,-84.356929,309.5,2013/08/09,14:56:43
9,33.749290,-84.356917,309.5,2013/08/09,14:56:47
10,33.749313,-84.357027,309.5,2013/08/09,14:56:51
11,33.749282,-84.357138,309.5,2013/08/09,14:56:55
12,33.749246,-84.357240,309.5,2013/08/09,14:56:58
13,33.749209,-84.357331,309.4,2013/08/09,14:57:01
14,33.749161,-84.357415,308.9,2013/08/09,14:57:04
15,33.749148,-84.357541,308.5,2013/08/09,14:57:07
16,33.749143,-84.357682,308.3,2013/08/09,14:57:10
17,33.749137,-84.357804,308.1,2013/08/09,14:57:12
18,33.749114,-84.357902,307.9,2013/08/09,14:57:14
19,33.749100,-84.358015,307.7,2013/08/09,14:57:16
20,33.749077,-84.358134,307.5,2013/08/09,14:57:18
21,33.749080,-84.358266,307.4,2013/08/09,14:57:20
22,33.749087,-84.358395,307.2,2013/08/09,14:57:22
23,33.749077,-84.358509,307.0,2013/08/09,14:57:24
24,33.749106,-84.358602,307.0,2013/08/09,14:57:26
25,33.749070,-84.358724,307.0,2013/08/09,14:57:29
26,33.749022,-84.358857,307.0,2013/08/09,14:57:32
27,33.749043,-84.358974,306.9,2013/08/09,14:57:35
28,33.749028,-84.359083,306.8,2013/08/09,14:57:38
29,33.748999,-84.359185,306.7,2013/08/09,14:57:47
30,33.748895,-84.359225,306.6,2013/08/09,14:57:51
31,33.748813,-84.359230,306.5,2013/08/09,14:57:53
32,33.748731,-84.359208,306.5,2013/08/09,14:57:55
33,33.748562,-84.359206,306.4,2013/08/09,14:57:58
34,33.748441,-84.359211,306.3,2013/08/09,14:58:00
35,33.748305,-84.359211,306.2,2013/08/09,14:58:02
36,33.748160,-84.359212,306.1,2013/08/09,14:58:04
